"Local Authority in England and Health board in Scotland and Wales","long","lat","ONS","05/03","07/03","08/03","09/03","10/03","11/03","12/03","13/03","14/03","15/03","16/03","17/03","18/03","19/03","20/03","21/03","22/03","23/03","24/03","25/03"
"Northern Ireland",-5.92644,54.60787,"N92000002",3,7,7,12,16,18,20,29,34,45,52,62,68,77,86,108,128,,,
"Ayrshire and Arran",-4.626422291,55.45068234,"S08000015",,1,1,1,1,3,4,4,6,6,7,6,9,12,16,21,25,,,
"Borders",-2.788468497,55.57624059,"S08000016",,0,0,0,0,2,2,3,5,7,7,7,7,8,9,10,11,,,
"Dumfries and Galloway",-3.959345119,55.07112127,"S08000017",,0,0,0,0,0,0,0,0,0,1,1,4,6,10,13,16,,,
"Fife",-3.124770465,56.22903987,"S08000029",,2,2,2,2,2,3,4,6,7,7,7,8,9,12,13,16,,,
"Forth Valley",-3.6144,56.0118,"S08000019",,2,2,2,2,2,6,6,6,10,10,12,15,17,23,27,30,,,
"Grampian",-2.783463329,57.29959277,"S08000020",,3,4,4,6,6,7,11,9,12,12,26,24,18,19,20,23,,,
"Greater Glasgow and Clyde",-4.44867056,55.88186454,"S08000031",,1,2,3,3,5,10,21,31,39,44,49,57,71,91,110,130,,,
"Highland",-4.931823601,57.26421461,"S08000022",,0,0,0,0,0,0,0,1,2,2,5,5,6,6,8,8,,,
"Lanarkshire",-3.839415019,55.66777744,"S08000032",,0,2,3,3,4,7,7,10,16,20,21,25,33,41,49,49,,,
"Lothian",-3.096723129,55.90395617,"S08000024",,1,2,5,7,8,11,20,25,28,29,30,33,35,40,44,46,,,
"Orkney",-3.194,59.049,"S08000025",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
"Shetland",-1.254045133,60.39489342,"S08000026",,0,0,2,2,2,6,6,11,11,15,11,16,24,24,24,24,,,
"Tayside",-3.554369571,56.61081485,"S08000030",,1,1,1,1,2,4,3,11,15,17,20,24,27,31,34,38,,,
"Western Isles",-6.8322,58.0346,"S08000028",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
"Barking and Dagenham",0.129506,51.54552,"E09000002",0,0,0,0,1,1,3,4,5,7,10,9,14,18,21,30,35,42,45,53
"Barnet",-0.21821,51.61108,"E09000003","1 to 4",3,4,5,8,8,9,14,23,25,25,24,27,28,76,81,88,94,99,100
"Barnsley",-1.54925,53.52577,"E08000016","1 to 4",2,2,2,2,2,2,2,3,5,4,2,6,7,7,7,10,11,15,19
"Bath and North East Somerset",-2.48654,51.35604,"E06000022",0,0,0,0,0,0,0,0,1,2,1,3,3,4,5,11,13,16,17,20
"Bedford",-0.45463,52.19628,"E06000055",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,7,7,7
"Bexley",0.146212,51.45821,"E09000004",0,0,0,0,0,0,0,1,5,7,8,14,17,22,31,37,39,43,47,59
"Birmingham",-1.88141,52.48404,"E08000025","1 to 4",1,1,1,1,2,2,2,5,8,15,20,25,34,54,75,91,137,187,228
"Blackburn with Darwen",-2.4636,53.7008,"E06000008",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3
"Blackpool",-3.02284,53.82161,"E06000009",0,0,0,0,0,0,2,2,1,3,2,3,4,3,5,5,6,6,8,8
